account_id|pid|code|ftype|descr|address|rc_id|chan_id|poten_id|group_price_id|payment_delay|locked
35541-11131|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет|0|||||
35541-11132|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг№2)|0|||||
35541-11032|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№1)|0|||||
35541-11036|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№3)|0|||||
35541-11037|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№4)|0|||||
35541-11038|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№5)|0|||||
35541-11034|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№6)|0|||||
35541-11039|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№7)|0|||||
35541-11040|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№8)|0|||||
35541-11041|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№9)|0|||||
35541-11033|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг№19)|0|||||
35541-11042|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№12)|0|||||
35541-11043|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№13)|0|||||
35541-11044|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№14)|0|||||
35541-11045|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№15)|0|||||
35541-11035|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№16)|0|||||
35541-11011|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№10)|0|||||
35541-11012|31949|35541|0|Всегодическое сельпо|Владимирская обл., Ковровский р-н, г. Ручьи д. нет д.нет (маг.№11)|0|||||
35541-10989|31949|35541|0|Всегодическое сельпо|Владимирская обл., Камешковский р-н, г. Малыгино Школьная ул. д.54 (Торговый центр)|0|||||
229000F13DMT|2000|2674|0|Вереск-Плюс ООО|,171540,Тверская обл,Кимрский р-н,Горицкое с/п,Горицы с,Советская ул,18,,||||||
229000LJDMT|2000|2674|0|Вереск-Плюс ООО|,171573,Тверская обл,,Калязин г,,Коминтерна ул,2/26,,||||||
22A000LNDMT|2000|2675|0|Вереск-торг ООО|г.Кашин, ул.Луночарского, д.12||||||
2HS000P12DMT|2000|3233|0|Курловское Потребительское Общество|,601523,Владимирская обл,Гусь-Хрустальный р-н,,Ильичево п,,63,,|2|||||
2HS000P1FDMT|2000|3233|0|Курловское Потребительское Общество|,601524,Владимирская обл,Гусь-Хрустальный р-н,,Василево д,,,,|2|||||
2HS00040MDMT|2000|3233|0|Курловское Потребительское Общество|,601524,Владимирская обл,Гусь-Хрустальный р-н,,Нечаевская д,,д.31 А,,|2|||||
22A000LMDMT|2000|2675|0|Вереск-торг ООО|п.Редкино, ул.Фадеева, д.2а||||||
2HS000P11DMT|2000|3233|0|Курловское Потребительское Общество|,601532,Владимирская обл,Гусь-Хрустальный р-н,,Овинцы д,,28,,|2|||||
