manuf_id|descr
112|ХЕНКЕЛЬ-ЭРА
127|БЕНКИЗЕР
139|АИСТ
207|Стерлитомак
117|КАССОНС
113|ПРОКТЕР & ГЭМБЛ
124|ЮНИЛЕВЕР
119|Свобода
132|ММЗ
155|НХК
140|Н.Новгород
150|РАСПРОДАЖА Нев.Космет
161|КАЛИНА(Мыло,порошки)
179|Дзержинск
173|Нартекс
208|Ступино
183|Модус
131|ЭЛЕГАНС
196|НАТАЛИ Кондр.
201|Кондрово2
148|КЛОРОКС
122|КОЛГЕЙТ-ПАЛМОЛИВ
160|ЖИЛЛЕТТ
133|ДЖОНСОН &ДЖОНСОН
143|ЛОРЕАЛЬ
144|Лаб.ГАРНЬЕ
115|ЭС СИ ЭЙ ХАЙДЖИН
145|ШВАРЦКОПФ
141|СМИТ КЛЯЙН БИЧЕМ
116|ТЗМО
146|ВЭЛЛА
149|Чиртон
137|Англия
193|ЛОТУС
136|РАПТОР/Омск
184|Семилуки
114|БАЕРСДОРФ
120|Турция
192|Хитон
126|Цепрусс
212|Электролампа
221|Радуга
225|ДИВИДИК
231|ЯНКИ ПОЛИШ
236|Линстек Инхим
239|ПАПИРУС
240|Март
242|Саянская фольга
244|РАСПРОДАЖА АРНЕСТ
247|ВЕСНА
249|Эффектон
256|Ютта
259|Эс.Си.ДЖОНСОН
262|Тайтион
266|ХЕНКЕЛЬ ЭРА КЛЕЙ
278|Фасстар
288|СмоленскДОННА ЛИНДА
290|НАТУР КОСМЕТИК
293|Масток
295|ДЕНТАЛ-косметик
296|Рыбинск 2
297|Пермь
305|М-Гелиос
307|Тольятти
308|АЛЬФАТЕХФОРМ
309|БОЛГАРИЯ-ЛИ
310|НОВАЯ ЗАРЯ
317|Каменогорск
322|Услуги
326|КАЗАНЬ
336|СВЕЧИ
339|ПЕМОС
365|Подарки
368|СМС менеджмент
369|САМАРА порошки
372|Чистая Вода
373|ФРАТТИ
377|НЕКОНДИЦИЯ
382|Московский завод СМС
390|ТОСНО
391|КонцепцияБыта
392|ФАРМАКОМ
398|ИНВЕНТТД
401|Дж.Фреш
402|Воронеж
403|Тула
404|СЛАЙД
405|ХАЯТ
409|Перчатки2
410|ЮнисЦентр
412|СтупиноВИТ
413|УпаковкаСервис
415|Торн-Косметик
416|ТОРН
417|Дзержинск СИНЬКА
419|АЛГРО
424|Хайджин Продактс
426|РАСПРОДАЖА
428|Подарки СВ
429|Подарки УР
430|ХАГГИС
431|ПАЛМОЛИВ
