prod_id|pid|ftype|code|descr|manuf_id|brand_id|categ_id|art|shelf_life|obsolete|novelty|promo|note
54061|30880|0|6|ЛИРА грязе- и водоотталк.средство 200см3|464|1|1|4600104004193||0|1|0|
53216|53194|0|26|БАГИ Акрилан-спрей, д/акрил. повер.750мл|621|0|1|395590||0|0|0|
54001|53194|0|5|БАГИ Супер кожа-спрей, 500мл|621|1|0|395330||0|0|0|
54174|20385|0|2|АСТЕР КОМФОРТ 3-сл.2шт Белая т/бум|620|0|0|2203200/031251||0|0|0|
62512|20385|0|56|АСТЕР Натюрель 3-сл 6 шт Зеленая т/бум|620|0|0|406101||0|0|0|
64526|20385|0|75|АСТЕР ФИОРИ 3-сл. 4шт Голубая т/бум|620|1|0|А1816 Морск.ар.||0|0|0|
55002|20385|0|22|ЗЕВА ДЕЛЮКС 3-сл.4шт Желт.т/бум|115|2|0|3277-12||0|0|0|
61318|20385|0|32|ЗЕВА ДЕЛЮКС 3-сл.8шт Желт.т/бум|115|0|0|3078-14||0|0|0|
63028|20385|0|66|КОМИЛЬФО ПЛЮС т/б 2сл 4шт белая|1012|2|0|*||0|0|0|
61523|20385|0|78|ЛИНИЯ ВЕЙРО 2-сл.2шт Голубая т/бум|625|1|0|4С22||0|0|0|
61693|20385|0|45|ЛИНИЯ ВЕЙРО 2-сл.4шт Корол Цветы т/б гол|625|0|1|4С24А3||0|0|0|
61183|20385|0|31|ЛИНИЯ ВЕЙРО 2-сл.4шт ПЕРСИК т/бум|625|0|0|4С24А1 персик||0|0|0|
63000|20385|0|64|НОВАЯ ЛИНИЯ т/б 54м втулка|1012|1|0|*||0|0|0|
39264|61561|0|4249|СТУДИО ЛАЙН FX Вода д/ук.корот.вол.150мл|143|0|0|160804/1417500||0|0|0|
64141|20386|0|708|АОС 4,5кг Автомат Фемили ст/пор|326|1|0|213-4||0|0|0|
60449|20386|0|382|АРИЭЛЬ 6кг Автомат Горный родн|113|0|0|6 кг||0|0|0|
53088|20386|0|614|БИМАКС ПРОФ 900г Универсал Фемели ст/п|326|0|1|215-1||0|0|0|
48910|20386|0|189|ДЕНИ 400г Автомат Весенний Цвет ст/пор|112|1|0|976917||0|0|0|
55205|20386|0|334|ДЕНИ 3,0кг Автомат Лимон ст/пор|112|2|0|879494||0|0|0|
62617|20386|0|592|МИФ 400г Автомат Свежий Цвет ст/пор|113|0|0|*||0|0|0|
62618|20386|0|593|МИФ 2,0кг Автомат Свежий Цвет ст/п|113|1|0|*||0|0|0|
62488|20386|0|570|ПЕМОС 350г АвторитетЛимон ст/пор|112|0|0|1086389||0|0|0|
62297|20386|0|553|ПЕМОС 350г Универсал 3в1 ст/пор|112|0|0|1079173||0|0|0|
63185|20386|0|676|ПЕМОС 1,2кг Автомат Лимон ст/пор|112|0|0|1081541||0|0|0|
62489|20386|0|571|ПЕМОС 1,2кг Автомат ст/пор|112|1|0|1079101||0|0|0|
53172|20386|0|78|ПЕРСИЛ 3 кг Авт. Колор ПЭТ ст/пор|112|1|1|1033654||0|0|0|
51664|20386|0|115|СОРТИ 400г Автомат Колор ст/пор|326|1|0|05-5||0|0|0|
60837|20386|0|416|СОРТИ 400г Лимон ст/пор|326|0|0|65-5||0|0|0|
60842|20386|0|420|СОРТИ 400г Супер Эконом ст/пор|326|0|0|86-5||0|0|0|
